0 3 12385 3243 
263 9 2836033 12881818 7102738
264 15 2790544 13010634 7102738
265 9 2747640 13139416 7102738
266 12 2707187 13252165 7102738
267 15 2657090 13396999 7102738
268 12 2606142 13541207 7102738
269 12 2560329 13669946 7102738
270 9 2521620 13782175 7102738
271 15 2476212 13910847 7102738
272 9 2433078 14038894 7102738
273 12 2452260 14084171 7102738
274 12 2521255 14084171 7102738
275 12 2593188 14084171 7102738
276 12 2671706 14084171 7102738
277 12 2752175 14084171 7102738
278 15 2842749 14084171 7102738
279 9 2915450 14084171 7102738
280 12 2977877 14084171 7102738
281 15 3060237 14084171 7102738
282 9 3139867 14084171 7102738
283 15 3221903 14084171 7102738
284 9 3301996 14084171 7102738
285 12 3366377 14084171 7102738
286 12 3439558 14084171 7102738
287 15 3530609 14084171 7102738
288 9 3604173 14084171 7102738
289 15 3680049 14084171 7102738
290 9 3754467 14084171 7102738
291 15 3828371 14084171 7102738
292 12 3858589 14084181 7161376
293 12 3742528 14084208 7356395
294 12 3620058 14084241 7560252
295 12 3498867 14084276 7763104
296 12 3376218 14084314 7967195
297 9 3269177 14084334 8145292
298 15 3178963 14084256 8318370
299 9 3239379 14084148 8348594
300 15 3331636 14084148 8348594
301 12 3436660 14084285 8348594
302 12 3440303 14164912 8348594
303 9 3401169 14276496 8348594
304 15 3355917 14404024 8348594
305 12 3304477 14547616 8348594
306 9 3266936 14659809 8348594
307 15 3220525 14787469 8348594
308 9 3175247 14915218 8348594
309 15 3129929 15042872 8348594
310 12 3076758 15186729 8348594
311 9 3036921 15298593 8348594
312 12 2994267 15410589 8348594
313 12 2947807 15538786 8348594
314 15 2895603 15682013 8348594
315 9 2848565 15810041 8348594
316 15 2803209 15936751 8348594
317 9 2755733 16063686 8348594
318 12 2764037 16121433 8348594
319 12 2833653 16121433 8348594
320 12 2900524 16121433 8348594
321 15 2985668 16121433 8348594
322 12 3073857 16121433 8348594
323 12 3153782 16121433 8348594
324 9 3221792 16121433 8348594
325 12 3283913 16121433 8348594
326 12 3353008 16121433 8348594
327 15 3432650 16121433 8348594
328 12 3518752 16121433 8348594
329 12 3598804 16121433 8348594
330 12 3677451 16121433 8348594
331 9 3745924 16121433 8348594
332 15 3814594 16121433 8348594
333 12 3898947 16121433 8348594
334 9 3968705 16121433 8348594
335 12 4030756 16121433 8348594
336 15 4112991 16121433 8348594
337 12 4195901 16121433 8348594
338 9 4256905 16121433 8348594
339 15 4336609 16121433 8348594
340 9 4321373 16121449 8439025
341 15 4198786 16121477 8640605
342 12 4061231 16121499 8867147
343 9 3954233 16121522 9044198
344 12 3848357 16121542 9219276
345 15 3712035 16121567 9443951
346 9 3591291 16121583 9642837
347 12 3542819 16121420 9764069
348 12 3626577 16121360 9770481
349 12 3717261 16121360 9770481
350 15 3820603 16121360 9770481
351 12 3836816 16199808 9770481
352 9 3795461 16311272 9770481
353 15 3749174 16437492 9770481
354 9 3701300 16564416 9770481
355 12 3661489 16676246 9770481
356 15 3608606 16817719 9770481
357 12 3556098 16961040 9770481
358 12 3509246 17088668 9770481
359 12 3461655 17215199 9770481
360 6 3426890 17310333 9770481
