NOTICE:  table "hottail" does not exist, skipping
DROP TABLE
CREATE TABLE
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE EXTENSION
CREATE EXTENSION
1727268739 pages; 0  page_time: 1.00000000000000000000
1727269093 pages; 681659  page_time: 0.00048828125000000000

1727269094 pages; 683713  page_time: 0.00048828125000000000

1727269095 pages; 685799  page_time: 0.00048828125000000000

1727269096 pages; 687865  page_time: 0.00048828125000000000

1727269097 pages; 689913  page_time: 0.00048828125000000000

1727269098 pages; 691994  page_time: 0.00048828125000000000

1727269099 pages; 693998  page_time: 0.00048828125000000000

1727269100 pages; 695880  page_time: 0.00048828125000000000

1727269101 pages; 697881  page_time: 0.00048828125000000000

1727269102 pages; 699865  page_time: 0.00048828125000000000

1727269103 pages; 701776  page_time: 0.00048828125000000000

1727269104 pages; 703740  page_time: 0.00048828125000000000

1727269105 pages; 705753  page_time: 0.00048828125000000000

1727269106 pages; 707763  page_time: 0.00048828125000000000

1727269107 pages; 709741  page_time: 0.00048828125000000000

1727269108 pages; 711721  page_time: 0.00048828125000000000

1727269109 pages; 713718  page_time: 0.00048828125000000000

1727269110 pages; 715691  page_time: 0.00048828125000000000

1727269111 pages; 717715  page_time: 0.00048828125000000000

1727269112 pages; 719661  page_time: 0.00048828125000000000

1727269113 pages; 721042  page_time: 0.00048828125000000000

1727269114 pages; 722594  page_time: 0.00048828125000000000

1727269115 pages; 724463  page_time: 0.00048828125000000000

1727269116 pages; 726414  page_time: 0.00048828125000000000

1727269117 pages; 728331  page_time: 0.00048828125000000000

1727269118 pages; 730255  page_time: 0.00048828125000000000

1727269119 pages; 731506  page_time: 0.00048828125000000000

1727269120 pages; 733445  page_time: 0.00048828125000000000

1727269121 pages; 735364  page_time: 0.00048828125000000000

1727269122 pages; 737286  page_time: 0.00048828125000000000

1727269123 pages; 739146  page_time: 0.00048828125000000000
1727269125 pages; 740303  page_time: 0.00048828125000000000

1727269126 pages; 741860  page_time: 0.00048828125000000000

1727269127 pages; 743385  page_time: 0.00048828125000000000

1727269128 pages; 744740  page_time: 0.00048828125000000000

1727269129 pages; 746031  page_time: 0.00048828125000000000
1727269130 pages; 747048  page_time: 0.00048828125000000000

1727269131 pages; 748459  page_time: 0.00048828125000000000

1727269132 pages; 749849  page_time: 0.00048828125000000000

1727269133 pages; 751231  page_time: 0.00048828125000000000

1727269134 pages; 752631  page_time: 0.00048828125000000000

1727269135 pages; 754213  page_time: 0.00048828125000000000

1727269136 pages; 755557  page_time: 0.00048828125000000000

1727269137 pages; 756900  page_time: 0.00048828125000000000

1727269138 pages; 758418  page_time: 0.00048828125000000000

1727269139 pages; 759836  page_time: 0.00048828125000000000

1727269140 pages; 761327  page_time: 0.00048828125000000000

1727269141 pages; 762679  page_time: 0.00048828125000000000

1727269142 pages; 764155  page_time: 0.00048828125000000000

1727269143 pages; 765764  page_time: 0.00048828125000000000

1727269144 pages; 767372  page_time: 0.00048828125000000000

1727269145 pages; 768731  page_time: 0.00048828125000000000
1727269146 pages; 769695  page_time: 0.00048828125000000000

1727269147 pages; 771581  page_time: 0.00048828125000000000

1727269148 pages; 773474  page_time: 0.00048828125000000000

1727269149 pages; 775421  page_time: 0.00048828125000000000

1727269150 pages; 777330  page_time: 0.00048828125000000000

1727269151 pages; 778742  page_time: 0.00048828125000000000

1727269152 pages; 780571  page_time: 0.00048828125000000000

1727269153 pages; 782488  page_time: 0.00048828125000000000

1727269154 pages; 784344  page_time: 0.00048828125000000000

1727269155 pages; 786219  page_time: 0.00048828125000000000

1727269157 pages; 787766  page_time: 0.00048828125000000000

1727269158 pages; 789682  page_time: 0.00048828125000000000

1727269159 pages; 791574  page_time: 0.00048828125000000000

1727269160 pages; 793334  page_time: 0.00048828125000000000

1727269161 pages; 795197  page_time: 0.00048828125000000000

1727269162 pages; 796912  page_time: 0.00048828125000000000

1727269163 pages; 798760  page_time: 0.00048828125000000000

1727269164 pages; 800649  page_time: 0.00048828125000000000

1727269165 pages; 802487  page_time: 0.00048828125000000000

1727269166 pages; 804384  page_time: 0.00048828125000000000

1727269167 pages; 806271  page_time: 0.00048828125000000000

1727269168 pages; 808247  page_time: 0.00048828125000000000

1727269169 pages; 810192  page_time: 0.00048828125000000000

1727269170 pages; 812179  page_time: 0.00048828125000000000

1727269171 pages; 814178  page_time: 0.00048828125000000000

1727269172 pages; 816175  page_time: 0.00048828125000000000

1727269173 pages; 818098  page_time: 0.00048828125000000000

1727269174 pages; 819935  page_time: 0.00048828125000000000

1727269175 pages; 821858  page_time: 0.00048828125000000000

1727269176 pages; 823769  page_time: 0.00048828125000000000

1727269177 pages; 825284  page_time: 0.00048828125000000000

1727269178 pages; 827180  page_time: 0.00048828125000000000

1727269179 pages; 829106  page_time: 0.00048828125000000000

1727269180 pages; 830992  page_time: 0.00048828125000000000

1727269181 pages; 832902  page_time: 0.00048828125000000000

1727269182 pages; 834790  page_time: 0.00048828125000000000

1727269183 pages; 836103  page_time: 0.00048828125000000000

1727269184 pages; 837857  page_time: 0.00048828125000000000

1727269185 pages; 839657  page_time: 0.00048828125000000000

1727269186 pages; 841279  page_time: 0.00048828125000000000

1727269187 pages; 842694  page_time: 0.00048828125000000000
1727269189 pages; 843947  page_time: 0.00048828125000000000

1727269190 pages; 845579  page_time: 0.00048828125000000000

1727269191 pages; 847103  page_time: 0.00048828125000000000

1727269192 pages; 848449  page_time: 0.00048828125000000000

1727269194 pages; 849794  page_time: 0.00048828125000000000

1727269195 pages; 851139  page_time: 0.00048828125000000000

1727269196 pages; 852675  page_time: 0.00048828125000000000

1727269197 pages; 854249  page_time: 0.00048828125000000000

1727269198 pages; 855678  page_time: 0.00048828125000000000

1727269199 pages; 856964  page_time: 0.00048828125000000000

1727269200 pages; 858599  page_time: 0.00048828125000000000

1727269201 pages; 859948  page_time: 0.00048828125000000000

1727269202 pages; 861468  page_time: 0.00048828125000000000

1727269203 pages; 862870  page_time: 0.00048828125000000000

1727269204 pages; 864314  page_time: 0.00048828125000000000

1727269205 pages; 866040  page_time: 0.00048828125000000000

1727269206 pages; 867720  page_time: 0.00048828125000000000

1727269207 pages; 869317  page_time: 0.00048828125000000000

1727269208 pages; 871274  page_time: 0.00048828125000000000

1727269209 pages; 873198  page_time: 0.00048828125000000000

1727269210 pages; 875111  page_time: 0.00048828125000000000

1727269211 pages; 876975  page_time: 0.00048828125000000000

1727269212 pages; 878890  page_time: 0.00048828125000000000

1727269213 pages; 880906  page_time: 0.00048828125000000000

1727269214 pages; 882881  page_time: 0.00048828125000000000

1727269215 pages; 884397  page_time: 0.00048828125000000000

1727269216 pages; 886299  page_time: 0.00048828125000000000

