pgbench: setting random seed to 0
pgbench (18devel)
progress: 1727305964.271 s, 680.0 tps, lat 5.808 ms stddev 1.982, 0 failed
progress: 1727305969.271 s, 669.2 tps, lat 6.052 ms stddev 5.479, 0 failed
progress: 1727305974.272 s, 739.5 tps, lat 5.408 ms stddev 1.632, 0 failed
progress: 1727305979.271 s, 726.1 tps, lat 5.507 ms stddev 2.275, 0 failed
progress: 1727305984.271 s, 640.8 tps, lat 6.245 ms stddev 2.135, 0 failed
progress: 1727305989.271 s, 566.8 tps, lat 7.055 ms stddev 3.161, 0 failed
progress: 1727305994.272 s, 537.5 tps, lat 7.439 ms stddev 2.974, 0 failed
progress: 1727305999.271 s, 489.5 tps, lat 8.172 ms stddev 7.678, 0 failed
progress: 1727306004.271 s, 527.2 tps, lat 7.587 ms stddev 3.827, 0 failed
progress: 1727306009.271 s, 530.2 tps, lat 7.492 ms stddev 4.506, 0 failed
progress: 1727306014.271 s, 544.6 tps, lat 7.390 ms stddev 4.197, 0 failed
progress: 1727306019.271 s, 569.8 tps, lat 7.024 ms stddev 2.719, 0 failed
progress: 1727306024.271 s, 585.8 tps, lat 6.825 ms stddev 2.773, 0 failed
progress: 1727306029.271 s, 695.6 tps, lat 5.750 ms stddev 1.846, 0 failed
progress: 1727306034.271 s, 682.0 tps, lat 5.862 ms stddev 4.550, 0 failed
progress: 1727306039.271 s, 715.4 tps, lat 5.594 ms stddev 1.989, 0 failed
progress: 1727306044.271 s, 662.4 tps, lat 6.036 ms stddev 3.226, 0 failed
progress: 1727306049.271 s, 545.8 tps, lat 7.331 ms stddev 3.045, 0 failed
progress: 1727306054.271 s, 546.0 tps, lat 7.325 ms stddev 3.189, 0 failed
progress: 1727306059.271 s, 603.6 tps, lat 6.624 ms stddev 2.459, 0 failed
progress: 1727306064.271 s, 521.6 tps, lat 7.666 ms stddev 5.080, 0 failed
progress: 1727306069.271 s, 585.0 tps, lat 6.837 ms stddev 2.644, 0 failed
progress: 1727306074.272 s, 536.1 tps, lat 7.461 ms stddev 4.566, 0 failed
progress: 1727306079.272 s, 583.6 tps, lat 6.856 ms stddev 2.651, 0 failed
progress: 1727306084.271 s, 599.5 tps, lat 6.676 ms stddev 2.577, 0 failed
progress: 1727306089.271 s, 693.4 tps, lat 5.765 ms stddev 3.385, 0 failed
progress: 1727306094.272 s, 726.5 tps, lat 5.505 ms stddev 1.589, 0 failed
progress: 1727306099.271 s, 727.5 tps, lat 5.499 ms stddev 2.038, 0 failed
progress: 1727306104.271 s, 683.4 tps, lat 5.854 ms stddev 2.831, 0 failed
progress: 1727306109.271 s, 577.2 tps, lat 6.929 ms stddev 2.771, 0 failed
progress: 1727306114.271 s, 546.6 tps, lat 7.295 ms stddev 2.802, 0 failed
progress: 1727306119.271 s, 597.8 tps, lat 6.701 ms stddev 2.551, 0 failed
progress: 1727306124.271 s, 471.4 tps, lat 8.498 ms stddev 6.118, 0 failed
progress: 1727306129.271 s, 590.0 tps, lat 6.774 ms stddev 2.578, 0 failed
progress: 1727306134.271 s, 573.2 tps, lat 6.983 ms stddev 2.698, 0 failed
progress: 1727306139.271 s, 572.6 tps, lat 6.978 ms stddev 3.268, 0 failed
progress: 1727306144.271 s, 564.2 tps, lat 7.093 ms stddev 2.775, 0 failed
progress: 1727306149.271 s, 535.0 tps, lat 7.475 ms stddev 3.364, 0 failed
progress: 1727306154.271 s, 661.4 tps, lat 6.049 ms stddev 3.451, 0 failed
progress: 1727306159.271 s, 718.0 tps, lat 5.567 ms stddev 1.591, 0 failed
progress: 1727306164.271 s, 668.2 tps, lat 5.990 ms stddev 2.495, 0 failed
progress: 1727306169.271 s, 686.4 tps, lat 5.827 ms stddev 4.445, 0 failed
progress: 1727306174.271 s, 710.8 tps, lat 5.623 ms stddev 1.678, 0 failed
progress: 1727306179.272 s, 728.9 tps, lat 5.491 ms stddev 1.953, 0 failed
progress: 1727306184.271 s, 648.5 tps, lat 6.165 ms stddev 6.567, 0 failed
progress: 1727306189.271 s, 695.0 tps, lat 5.758 ms stddev 2.491, 0 failed
progress: 1727306194.271 s, 722.0 tps, lat 5.539 ms stddev 2.248, 0 failed
progress: 1727306199.271 s, 696.4 tps, lat 5.741 ms stddev 3.115, 0 failed
progress: 1727306204.271 s, 711.4 tps, lat 5.620 ms stddev 1.785, 0 failed
progress: 1727306209.271 s, 727.6 tps, lat 5.476 ms stddev 1.612, 0 failed
progress: 1727306214.271 s, 737.2 tps, lat 5.439 ms stddev 1.865, 0 failed
progress: 1727306219.271 s, 666.8 tps, lat 6.011 ms stddev 4.334, 0 failed
progress: 1727306224.272 s, 709.3 tps, lat 5.635 ms stddev 1.770, 0 failed
progress: 1727306229.271 s, 606.3 tps, lat 6.598 ms stddev 2.841, 0 failed
progress: 1727306234.272 s, 511.7 tps, lat 7.814 ms stddev 4.808, 0 failed
progress: 1727306239.271 s, 575.7 tps, lat 6.949 ms stddev 2.693, 0 failed
progress: 1727306244.271 s, 646.2 tps, lat 6.184 ms stddev 2.299, 0 failed
progress: 1727306249.271 s, 524.2 tps, lat 7.641 ms stddev 5.205, 0 failed
progress: 1727306254.271 s, 581.4 tps, lat 6.878 ms stddev 2.601, 0 failed
progress: 1727306259.271 s, 638.4 tps, lat 6.263 ms stddev 2.526, 0 failed
progress: 1727306264.271 s, 496.8 tps, lat 8.052 ms stddev 5.594, 0 failed
progress: 1727306269.271 s, 597.6 tps, lat 6.666 ms stddev 4.491, 0 failed
progress: 1727306274.273 s, 589.0 tps, lat 6.819 ms stddev 3.080, 0 failed
progress: 1727306279.271 s, 569.6 tps, lat 7.014 ms stddev 2.492, 0 failed
progress: 1727306284.271 s, 691.2 tps, lat 5.788 ms stddev 1.823, 0 failed
progress: 1727306289.271 s, 588.6 tps, lat 6.801 ms stddev 3.456, 0 failed
